funcionario_id;nome_completo;genero;idade;cidade;uf;departamento_id;cargo;senioridade;modelo_trabalho;data_admissao;salario_atual;status;data_desligamento;tipo_desligamento;motivo_desligamento
28;Camila Gomes Carvalho;F;28;Belo Horizonte;MG;6;Pleno de Customer Success;Pleno;Presencial;2020-12-19;9257.65;Ativo;;;
29;Maria Andrade Andrade;F;29;Porto Alegre;RS;2;Senior de Dados & Analytics;Senior;Presencial;2022-09-05;11451.98;Ativo;;;
30;Leonardo Souza Rocha;M;33;Porto Alegre;RS;2;Senior de Dados & Analytics;Senior;Presencial;2024-09-25;10124.06;Ativo;;;
31;Matheus Ribeiro Ferreira;M;44;Florianopolis;SC;3;Senior de Produto;Senior;Hibrido;2018-08-03;13384.33;Ativo;;;
32;Ricardo Costa Lopes;M;34;Sao Paulo;SP;11;Junior de Juridico;Junior;Remoto;2020-12-07;5054.29;Ativo;;;
33;Diego Gomes Pereira;M;31;Sao Paulo;SP;11;Coordenador de Juridico;Coordenador;Hibrido;2024-01-03;14249.22;Ativo;;;
34;Fernando Oliveira Oliveira;M;24;Goiania;GO;2;Coordenador de Dados & Analytics;Coordenador;Remoto;2022-10-23;15138.59;Ativo;;;
35;Juliana Fernandes Rodrigues;F;40;Belo Horizonte;MG;1;Pleno de Engenharia de Software;Pleno;Hibrido;2019-11-03;7358.94;Ativo;;;
36;Natalia Ferreira Lima;F;44;Florianopolis;SC;2;Especialista de Dados & Analytics;Especialista;Presencial;2023-01-07;17935.22;Ativo;;;
37;Amanda Fernandes Andrade;F;36;Goiania;GO;4;Pleno de Comercial;Pleno;Hibrido;2023-09-25;8623.52;Ativo;;;
38;Rodrigo Martins Dias;M;31;Campinas;SP;11;Senior de Juridico;Senior;Remoto;2023-01-08;14522.41;Ativo;;;
39;Priscila Soares Almeida;F;22;Rio de Janeiro;RJ;8;Estagiario de Operacoes;Estagiario;Hibrido;2023-10-01;2148.72;Ativo;;;
40;Felipe Oliveira Costa;M;27;Sao Paulo;SP;3;Junior de Produto;Junior;Hibrido;2020-06-04;3772.74;Ativo;;;
41;Fernando Pereira Silva;M;23;Rio de Janeiro;RJ;5;Senior de Marketing;Senior;Remoto;2023-04-26;12026.41;Desligado;2024-01-17;Voluntario;Nova oportunidade de mercado
42;Lucas Santos Costa;M;19;Rio de Janeiro;RJ;12;Especialista de Administrativo;Especialista;Presencial;2022-02-28;16091.42;Ativo;;;
43;Guilherme Dias Lopes;M;28;Curitiba;PR;9;Junior de Recursos Humanos;Junior;Hibrido;2018-08-22;4160.2;Ativo;;;
44;Fernando Vieira Lopes;M;39;Curitiba;PR;2;Pleno de Dados & Analytics;Pleno;Remoto;2020-07-20;7695.83;Ativo;;;
45;Vanessa Alves Souza;F;37;Rio de Janeiro;RJ;12;Junior de Administrativo;Junior;Hibrido;2018-10-30;3922.9;Ativo;;;
46;Bruna Carvalho Carvalho;F;25;Fortaleza;CE;8;Pleno de Operacoes;Pleno;Remoto;2020-08-14;8052.87;Ativo;;;
47;Gabriel Santos Martins;M;33;Goiania;GO;3;Pleno de Produto;Pleno;Hibrido;2023-07-28;8977.86;Desligado;2024-11-03;Voluntario;Mudanca de carreira
48;Felipe Alves Alves;M;37;Florianopolis;SC;1;Estagiario de Engenharia de Software;Estagiario;Hibrido;2022-12-31;2482.55;Ativo;;;
49;Fernanda Carvalho Ferreira;F;34;Porto Alegre;RS;12;Junior de Administrativo;Junior;Remoto;2019-12-30;3729.67;Ativo;;;
50;Beatriz Oliveira Almeida;F;44;Florianopolis;SC;9;Junior de Recursos Humanos;Junior;Hibrido;2018-12-17;4869.14;Desligado;2024-02-12;Voluntario;Nova oportunidade de mercado
51;Gustavo Silva Oliveira;M;41;Curitiba;PR;9;Especialista de Recursos Humanos;Especialista;Hibrido;2023-05-28;17329.58;Ativo;;;
52;Andre Lopes Lopes;M;35;Curitiba;PR;4;Pleno de Comercial;Pleno;Hibrido;2022-12-08;8390.44;Ativo;;;
53;Ana Ferreira Martins;F;36;Sao Paulo;SP;6;Junior de Customer Success;Junior;Remoto;2020-04-25;5379.66;Desligado;2024-10-16;Voluntario;Motivos pessoais/familiares
54;Priscila Gomes Carvalho;F;47;Goiania;GO;2;Estagiario de Dados & Analytics;Estagiario;Remoto;2024-01-23;2198.92;Ativo;;;
55;Fernanda Alves Gomes;F;41;Curitiba;PR;12;Senior de Administrativo;Senior;Hibrido;2019-07-29;14774.91;Ativo;;;
56;Fernando Andrade Fernandes;M;28;Sao Paulo;SP;5;Junior de Marketing;Junior;Remoto;2018-02-28;5337.5;Ativo;;;
57;Ana Santos Vieira;F;27;Fortaleza;CE;4;Junior de Comercial;Junior;Remoto;2020-04-18;3872.64;Ativo;;;
58;Pedro Soares Oliveira;M;41;Belo Horizonte;MG;12;Junior de Administrativo;Junior;Remoto;2024-05-11;4296.34;Ativo;;;
59;Ricardo Oliveira Dias;M;40;Curitiba;PR;2;Senior de Dados & Analytics;Senior;Hibrido;2019-06-22;11026.73;Ativo;;;
60;Camila Vieira Pereira;F;26;Brasilia;DF;5;Pleno de Marketing;Pleno;Hibrido;2023-03-09;8083.85;Ativo;;;
61;Ricardo Oliveira Carvalho;M;31;Campinas;SP;11;Pleno de Juridico;Pleno;Remoto;2018-09-18;7739.54;Ativo;;;
62;Patricia Alves Dias;F;33;Goiania;GO;5;Senior de Marketing;Senior;Hibrido;2021-10-25;14268.47;Ativo;;;
63;Beatriz Lima Martins;F;32;Belo Horizonte;MG;10;Junior de Financeiro;Junior;Presencial;2023-09-28;4944.53;Ativo;;;
64;Priscila Costa Oliveira;F;22;Sao Paulo;SP;11;Junior de Juridico;Junior;Remoto;2022-11-13;5252.89;Ativo;;;
65;Daniela Vieira Souza;F;21;Rio de Janeiro;RJ;11;Pleno de Juridico;Pleno;Presencial;2023-04-13;7030.63;Ativo;;;
66;Leonardo Lima Rodrigues;M;39;Recife;PE;12;Pleno de Administrativo;Pleno;Remoto;2020-11-30;6763.08;Ativo;;;
67;Felipe Ribeiro Gomes;M;34;Belo Horizonte;MG;7;Pleno de Suporte Tecnico;Pleno;Remoto;2019-06-06;8279.97;Desligado;2024-02-19;Involuntario;Reestruturacao da area
68;Daniela Rocha Soares;F;36;Sao Paulo;SP;10;Senior de Financeiro;Senior;Remoto;2020-12-01;11724.1;Ativo;;;
69;Camila Rodrigues Lima;F;33;Rio de Janeiro;RJ;10;Coordenador de Financeiro;Coordenador;Hibrido;2018-03-20;16395.43;Ativo;;;
70;Gustavo Rodrigues Lima;M;30;Porto Alegre;RS;12;Senior de Administrativo;Senior;Remoto;2021-01-02;12225.2;Ativo;;;
71;Thiago Alves Dias;M;35;Campinas;SP;9;Junior de Recursos Humanos;Junior;Hibrido;2019-04-13;5400.47;Ativo;;;
72;Tatiane Lopes Lima;F;35;Sao Paulo;SP;11;Junior de Juridico;Junior;Presencial;2018-04-10;5475.34;Ativo;;;
73;Andre Lima Santos;M;37;Sao Paulo;SP;1;Estagiario de Engenharia de Software;Estagiario;Remoto;2022-06-16;2118.6;Ativo;;;
74;Fernanda Rocha Lima;F;32;Belo Horizonte;MG;1;Pleno de Engenharia de Software;Pleno;Hibrido;2022-04-30;8767.53;Ativo;;;
75;Natalia Nascimento Carvalho;F;22;Florianopolis;SC;4;Gerente de Comercial;Gerente;Remoto;2020-10-11;21507.12;Ativo;;;
76;Gabriel Oliveira Nascimento;M;36;Belo Horizonte;MG;3;Junior de Produto;Junior;Hibrido;2020-01-19;4209.24;Ativo;;;
77;Diego Vieira Fernandes;M;31;Belo Horizonte;MG;6;Pleno de Customer Success;Pleno;Presencial;2022-02-26;9438.16;Ativo;;;
78;Fernanda Santos Gomes;F;33;Recife;PE;6;Senior de Customer Success;Senior;Hibrido;2020-08-27;10161.86;Desligado;2024-12-15;Involuntario;Baixo desempenho
79;Amanda Dias Pereira;F;35;Campinas;SP;8;Senior de Operacoes;Senior;Hibrido;2023-08-22;13328.11;Ativo;;;
80;Diego Fernandes Carvalho;M;40;Brasilia;DF;12;Junior de Administrativo;Junior;Presencial;2023-12-17;5277.5;Ativo;;;
81;Felipe Ferreira Ferreira;M;36;Salvador;BA;7;Junior de Suporte Tecnico;Junior;Hibrido;2023-11-20;4866.52;Ativo;;;
82;Rafael Andrade Costa;M;46;Salvador;BA;6;Pleno de Customer Success;Pleno;Hibrido;2019-02-02;9038.56;Desligado;2024-05-01;Voluntario;Insatisfacao salarial
83;Larissa Nascimento Souza;F;25;Salvador;BA;12;Senior de Administrativo;Senior;Remoto;2023-10-03;10384.18;Ativo;;;
84;Vinicius Pereira Alves;M;36;Fortaleza;CE;6;Junior de Customer Success;Junior;Hibrido;2020-12-27;4066.69;Ativo;;;
85;Carolina Pereira Pereira;F;23;Sao Paulo;SP;12;Junior de Administrativo;Junior;Hibrido;2022-04-17;4664.34;Desligado;2024-11-14;Aposentadoria;Aposentadoria
86;Marcelo Costa Lima;M;29;Rio de Janeiro;RJ;6;Pleno de Customer Success;Pleno;Remoto;2021-01-30;8696.43;Ativo;;;
87;Bruna Rocha Soares;F;23;Salvador;BA;9;Coordenador de Recursos Humanos;Coordenador;Remoto;2024-04-15;12187.81;Ativo;;;
88;Maria Souza Lima;F;30;Belo Horizonte;MG;11;Senior de Juridico;Senior;Presencial;2022-12-11;10601.98;Ativo;;;
89;Ana Souza Barbosa;F;49;Salvador;BA;11;Senior de Juridico;Senior;Presencial;2024-09-08;11117.92;Ativo;;;
90;Aline Carvalho Barbosa;F;20;Florianopolis;SC;5;Pleno de Marketing;Pleno;Remoto;2020-02-23;6941.48;Ativo;;;
91;Marcelo Vieira Alves;M;28;Porto Alegre;RS;7;Junior de Suporte Tecnico;Junior;Remoto;2018-02-16;3705.58;Ativo;;;
92;Andre Silva Soares;M;19;Florianopolis;SC;6;Especialista de Customer Success;Especialista;Remoto;2020-06-22;13495.05;Ativo;;;
93;Diego Carvalho Oliveira;M;38;Campinas;SP;11;Pleno de Juridico;Pleno;Hibrido;2024-06-19;8145.3;Ativo;;;
94;Daniela Costa Dias;F;35;Rio de Janeiro;RJ;3;Pleno de Produto;Pleno;Remoto;2018-07-26;7842.41;Desligado;2024-03-31;Voluntario;Mudanca de carreira
95;Vanessa Costa Martins;F;29;Goiania;GO;1;Pleno de Engenharia de Software;Pleno;Remoto;2021-05-30;7163.1;Desligado;2024-05-27;Voluntario;Mudanca de carreira
96;Bruno Carvalho Dias;M;34;Salvador;BA;3;Senior de Produto;Senior;Remoto;2021-10-03;13722.48;Ativo;;;
97;Ricardo Vieira Gomes;M;29;Salvador;BA;1;Pleno de Engenharia de Software;Pleno;Hibrido;2023-10-12;7343.47;Ativo;;;
98;Rodrigo Gomes Alves;M;32;Salvador;BA;5;Junior de Marketing;Junior;Hibrido;2020-10-19;4374.33;Ativo;;;
99;Priscila Almeida Almeida;F;44;Campinas;SP;11;Pleno de Juridico;Pleno;Hibrido;2019-08-22;8095.5;Ativo;;;
100;Leonardo Lopes Andrade;M;38;Belo Horizonte;MG;2;Junior de Dados & Analytics;Junior;Hibrido;2023-02-03;3835.24;Ativo;;;
101;Rodrigo Soares Dias;M;40;Campinas;SP;9;Estagiario de Recursos Humanos;Estagiario;Hibrido;2019-03-31;2248.0;Desligado;2024-02-07;Voluntario;Continuidade dos estudos
102;Juliana Pereira Dias;F;31;Porto Alegre;RS;6;Especialista de Customer Success;Especialista;Remoto;2021-05-19;15728.44;Ativo;;;
103;Bruno Rodrigues Silva;M;39;Sao Paulo;SP;4;Senior de Comercial;Senior;Presencial;2022-09-22;14109.63;Ativo;;;
104;Vinicius Barbosa Oliveira;M;24;Fortaleza;CE;7;Junior de Suporte Tecnico;Junior;Hibrido;2022-07-03;4817.77;Desligado;2024-08-28;Aposentadoria;Aposentadoria
105;Luciana Alves Nascimento;F;39;Goiania;GO;1;Especialista de Engenharia de Software;Especialista;Hibrido;2024-01-03;18267.35;Ativo;;;
106;Debora Martins Pereira;F;30;Belo Horizonte;MG;10;Pleno de Financeiro;Pleno;Remoto;2021-10-09;7919.75;Ativo;;;
107;Gabriel Carvalho Pereira;M;32;Belo Horizonte;MG;4;Pleno de Comercial;Pleno;Hibrido;2022-01-04;7330.68;Ativo;;;
108;Ana Fernandes Pereira;F;30;Rio de Janeiro;RJ;9;Estagiario de Recursos Humanos;Estagiario;Presencial;2019-09-07;2253.23;Ativo;;;
109;Fernanda Almeida Dias;F;26;Florianopolis;SC;6;Pleno de Customer Success;Pleno;Hibrido;2022-09-16;6426.6;Desligado;2024-07-10;Involuntario;Reducao de quadro
110;Priscila Barbosa Andrade;F;30;Florianopolis;SC;3;Junior de Produto;Junior;Remoto;2021-07-24;3505.17;Ativo;;;
111;Natalia Almeida Ferreira;F;36;Goiania;GO;4;Senior de Comercial;Senior;Remoto;2018-08-30;11830.56;Ativo;;;
112;Priscila Lima Pereira;F;40;Campinas;SP;9;Pleno de Recursos Humanos;Pleno;Hibrido;2019-08-05;6624.56;Ativo;;;
113;Tatiane Lopes Rocha;F;22;Curitiba;PR;8;Senior de Operacoes;Senior;Presencial;2018-11-21;13308.4;Desligado;2024-09-21;Voluntario;Mudanca de carreira
114;Juliana Nascimento Gomes;F;37;Curitiba;PR;2;Pleno de Dados & Analytics;Pleno;Hibrido;2023-10-02;8160.05;Ativo;;;
115;Aline Costa Fernandes;F;33;Rio de Janeiro;RJ;1;Senior de Engenharia de Software;Senior;Remoto;2021-11-09;14967.77;Ativo;;;
116;Matheus Pereira Martins;M;27;Goiania;GO;10;Pleno de Financeiro;Pleno;Hibrido;2020-01-30;8876.32;Ativo;;;
117;Bruno Oliveira Carvalho;M;19;Salvador;BA;11;Junior de Juridico;Junior;Remoto;2023-12-24;4014.09;Ativo;;;
118;Natalia Almeida Carvalho;F;28;Sao Paulo;SP;7;Pleno de Suporte Tecnico;Pleno;Presencial;2021-10-30;6306.75;Ativo;;;
119;Andre Martins Vieira;M;24;Goiania;GO;5;Coordenador de Marketing;Coordenador;Remoto;2020-08-19;12698.2;Ativo;;;
120;Fernando Martins Lopes;M;19;Sao Paulo;SP;10;Junior de Financeiro;Junior;Remoto;2024-06-13;5414.65;Ativo;;;
121;Carolina Martins Carvalho;F;19;Florianopolis;SC;8;Junior de Operacoes;Junior;Hibrido;2024-08-28;3551.62;Ativo;;;
122;Vinicius Pereira Lima;M;30;Salvador;BA;7;Pleno de Suporte Tecnico;Pleno;Hibrido;2019-06-19;7975.54;Ativo;;;
123;Maria Martins Costa;F;36;Campinas;SP;8;Junior de Operacoes;Junior;Remoto;2022-05-18;4883.24;Ativo;;;
124;Larissa Almeida Rodrigues;F;41;Brasilia;DF;11;Pleno de Juridico;Pleno;Hibrido;2021-08-19;8289.27;Ativo;;;
125;Marcelo Vieira Vieira;M;29;Campinas;SP;1;Pleno de Engenharia de Software;Pleno;Hibrido;2019-09-02;6753.21;Ativo;;;
126;Lucas Rocha Carvalho;M;23;Belo Horizonte;MG;6;Junior de Customer Success;Junior;Hibrido;2023-12-24;3798.48;Ativo;;;
127;Larissa Santos Lima;F;39;Salvador;BA;3;Junior de Produto;Junior;Hibrido;2019-10-06;4876.27;Ativo;;;
128;Amanda Almeida Costa;F;35;Recife;PE;4;Pleno de Comercial;Pleno;Hibrido;2024-10-31;9088.61;Ativo;;;
129;Patricia Carvalho Lima;F;37;Rio de Janeiro;RJ;10;Junior de Financeiro;Junior;Remoto;2022-07-28;4199.41;Ativo;;;
130;Maria Andrade Fernandes;F;40;Sao Paulo;SP;9;Senior de Recursos Humanos;Senior;Hibrido;2019-06-04;12935.65;Ativo;;;
131;Beatriz Rocha Oliveira;F;41;Campinas;SP;4;Junior de Comercial;Junior;Presencial;2021-08-07;4472.03;Ativo;;;
132;Joao Pereira Alves;M;35;Sao Paulo;SP;5;Pleno de Marketing;Pleno;Presencial;2019-08-31;8145.29;Desligado;2024-03-13;Involuntario;Reducao de quadro
133;Felipe Rodrigues Lopes;M;22;Campinas;SP;3;Senior de Produto;Senior;Remoto;2022-07-15;13506.7;Ativo;;;
134;Fernando Alves Almeida;M;38;Goiania;GO;8;Senior de Operacoes;Senior;Hibrido;2021-07-01;13997.82;Ativo;;;
135;Bruna Ferreira Barbosa;F;34;Brasilia;DF;9;Pleno de Recursos Humanos;Pleno;Remoto;2023-08-12;6562.97;Ativo;;;
136;Rafael Gomes Souza;M;43;Brasilia;DF;5;Senior de Marketing;Senior;Hibrido;2020-06-16;12887.92;Ativo;;;
137;Rodrigo Vieira Dias;M;31;Salvador;BA;3;Junior de Produto;Junior;Hibrido;2024-01-23;3797.78;Ativo;;;
138;Amanda Oliveira Vieira;F;32;Goiania;GO;7;Senior de Suporte Tecnico;Senior;Remoto;2020-06-16;9517.7;Ativo;;;
139;Gabriel Nascimento Gomes;M;33;Campinas;SP;1;Senior de Engenharia de Software;Senior;Hibrido;2023-09-15;13927.44;Ativo;;;
140;Fernando Santos Ribeiro;M;26;Florianopolis;SC;10;Junior de Financeiro;Junior;Hibrido;2020-07-26;4971.01;Desligado;2024-10-19;Involuntario;Reestruturacao da area
141;Juliana Soares Rocha;F;25;Recife;PE;2;Coordenador de Dados & Analytics;Coordenador;Remoto;2024-10-09;13217.62;Ativo;;;
142;Andre Lopes Souza;M;39;Salvador;BA;4;Especialista de Comercial;Especialista;Hibrido;2021-03-11;14353.25;Ativo;;;
143;Priscila Nascimento Rodrigues;F;36;Salvador;BA;5;Senior de Marketing;Senior;Remoto;2018-12-08;10373.99;Ativo;;;
144;Leonardo Rocha Lima;M;31;Brasilia;DF;12;Especialista de Administrativo;Especialista;Hibrido;2023-04-02;14497.28;Ativo;;;
145;Priscila Carvalho Andrade;F;28;Brasilia;DF;8;Especialista de Operacoes;Especialista;Remoto;2024-08-29;13130.94;Ativo;;;
146;Aline Pereira Oliveira;F;31;Porto Alegre;RS;3;Junior de Produto;Junior;Hibrido;2020-05-04;4950.31;Ativo;;;
147;Beatriz Almeida Vieira;F;27;Brasilia;DF;3;Junior de Produto;Junior;Remoto;2018-07-26;4915.67;Ativo;;;
148;Aline Silva Lopes;F;43;Recife;PE;7;Pleno de Suporte Tecnico;Pleno;Remoto;2018-06-07;8278.41;Ativo;;;
149;Vinicius Alves Ribeiro;M;30;Porto Alegre;RS;11;Junior de Juridico;Junior;Hibrido;2019-10-08;4819.26;Ativo;;;
150;Patricia Barbosa Nascimento;F;41;Porto Alegre;RS;5;Pleno de Marketing;Pleno;Remoto;2023-09-07;6369.16;Ativo;;;
151;Leonardo Alves Oliveira;M;32;Curitiba;PR;6;Junior de Customer Success;Junior;Hibrido;2024-03-15;4726.95;Desligado;2024-07-04;Voluntario;Motivos pessoais/familiares
152;Natalia Pereira Nascimento;F;21;Fortaleza;CE;9;Senior de Recursos Humanos;Senior;Presencial;2021-05-10;11258.17;Ativo;;;
153;Priscila Silva Oliveira;F;25;Porto Alegre;RS;4;Senior de Comercial;Senior;Hibrido;2023-01-22;14396.42;Desligado;2024-11-09;Involuntario;Baixo desempenho
154;Beatriz Gomes Dias;F;40;Brasilia;DF;8;Pleno de Operacoes;Pleno;Hibrido;2019-03-15;8898.87;Ativo;;;
155;Debora Fernandes Soares;F;28;Recife;PE;8;Coordenador de Operacoes;Coordenador;Hibrido;2022-09-04;15804.85;Ativo;;;
156;Natalia Costa Ribeiro;F;29;Goiania;GO;2;Junior de Dados & Analytics;Junior;Presencial;2019-06-29;4180.76;Ativo;;;
157;Patricia Gomes Lima;F;42;Curitiba;PR;10;Senior de Financeiro;Senior;Hibrido;2021-02-02;12582.42;Ativo;;;
158;Bruno Costa Souza;M;28;Goiania;GO;2;Pleno de Dados & Analytics;Pleno;Presencial;2018-11-18;6095.11;Ativo;;;
159;Bruno Alves Andrade;M;37;Fortaleza;CE;10;Estagiario de Financeiro;Estagiario;Hibrido;2023-09-13;2197.02;Desligado;2024-03-23;Involuntario;Reestruturacao da area
160;Camila Alves Gomes;F;35;Curitiba;PR;12;Junior de Administrativo;Junior;Remoto;2018-03-29;3979.02;Ativo;;;
161;Larissa Gomes Silva;F;26;Goiania;GO;2;Junior de Dados & Analytics;Junior;Hibrido;2022-10-20;5411.65;Desligado;2024-11-28;Voluntario;Continuidade dos estudos
162;Guilherme Santos Santos;M;32;Florianopolis;SC;12;Pleno de Administrativo;Pleno;Hibrido;2019-08-15;8367.49;Ativo;;;
163;Fernanda Rocha Lopes;F;30;Rio de Janeiro;RJ;4;Pleno de Comercial;Pleno;Hibrido;2019-11-30;6159.77;Ativo;;;
164;Fernando Gomes Lopes;M;19;Fortaleza;CE;9;Especialista de Recursos Humanos;Especialista;Remoto;2023-11-01;13296.98;Ativo;;;
165;Aline Ferreira Santos;F;19;Porto Alegre;RS;2;Especialista de Dados & Analytics;Especialista;Hibrido;2022-09-02;16448.68;Desligado;2024-06-13;Involuntario;Reestruturacao da area
166;Lucas Martins Lopes;M;21;Rio de Janeiro;RJ;10;Junior de Financeiro;Junior;Presencial;2022-12-27;4936.86;Ativo;;;
167;Matheus Rodrigues Vieira;M;29;Porto Alegre;RS;7;Junior de Suporte Tecnico;Junior;Presencial;2022-08-16;4209.54;Ativo;;;
168;Felipe Souza Fernandes;M;36;Salvador;BA;5;Pleno de Marketing;Pleno;Remoto;2023-09-25;8593.43;Ativo;;;
169;Leonardo Martins Almeida;M;35;Fortaleza;CE;11;Junior de Juridico;Junior;Remoto;2018-06-20;4433.22;Ativo;;;
170;Luciana Carvalho Gomes;F;38;Brasilia;DF;6;Pleno de Customer Success;Pleno;Remoto;2023-12-06;8794.33;Ativo;;;
171;Ricardo Andrade Souza;M;19;Curitiba;PR;5;Junior de Marketing;Junior;Hibrido;2019-01-26;5280.19;Desligado;2024-08-23;Voluntario;Insatisfacao salarial
172;Juliana Ferreira Pereira;F;27;Belo Horizonte;MG;3;Junior de Produto;Junior;Presencial;2019-07-31;3834.72;Ativo;;;
173;Rafael Silva Carvalho;M;24;Fortaleza;CE;4;Junior de Comercial;Junior;Hibrido;2020-08-04;5170.96;Ativo;;;
174;Carolina Santos Pereira;F;32;Porto Alegre;RS;8;Estagiario de Operacoes;Estagiario;Remoto;2024-10-10;2479.52;Ativo;;;
175;Priscila Oliveira Dias;F;23;Curitiba;PR;4;Pleno de Comercial;Pleno;Hibrido;2023-09-29;8370.86;Ativo;;;
176;Luciana Dias Alves;F;32;Salvador;BA;7;Junior de Suporte Tecnico;Junior;Remoto;2021-03-11;4151.65;Ativo;;;
177;Gustavo Pereira Rocha;M;32;Belo Horizonte;MG;11;Pleno de Juridico;Pleno;Remoto;2021-10-19;6132.94;Desligado;2024-09-05;Voluntario;Mudanca de carreira
178;Lucas Santos Ferreira;M;31;Porto Alegre;RS;8;Junior de Operacoes;Junior;Remoto;2021-11-21;4482.84;Ativo;;;
179;Priscila Souza Almeida;F;37;Goiania;GO;8;Senior de Operacoes;Senior;Presencial;2019-05-22;12654.41;Desligado;2024-11-07;Voluntario;Mudanca de carreira
180;Patricia Soares Fernandes;F;33;Fortaleza;CE;2;Pleno de Dados & Analytics;Pleno;Hibrido;2021-04-19;9242.34;Ativo;;;
181;Juliana Barbosa Santos;F;38;Salvador;BA;4;Gerente de Comercial;Gerente;Remoto;2020-01-14;24768.21;Desligado;2024-09-26;Involuntario;Reducao de quadro
182;Daniela Lima Silva;F;39;Rio de Janeiro;RJ;9;Junior de Recursos Humanos;Junior;Remoto;2019-12-09;4298.2;Ativo;;;
